,Title,rating score,IsItPositive,Review
10," show does something IMMENSELY right
",9,True,"As RavenGlamDVDCollector, I am not really here for the story, No, I am that pseudo stage-door-Johnny bringing flowers for the actresses. But I must speak up, give credit where credit is also due.Much of my contributions for IMDb is usually before having seen the entire episode, and I noticed that other reviewer going ""disappointing start, nothing significant happens"" and at about midway, I kinda saw it was down from the previous season, thought this bit of me having jumped (however belatedly) onto the GAME OF THRONES bandwagon, full fury and throng, well, now it's past the apex anyway, like other reviewers say, bah...Fortunately though, turns out, not the case...This show does something IMMENSELY right. Look, I'm here for the actresses. I joined up for the beauty of Emilia Clarke. GAME OF THRONES was suggested to me by a friend who showed me a sneak preview in the knowledge I'd flip my lid. You get the picture, I'm sure you do.But I've recently had one of my few deviations in my reviews when I praised Peter Dinklage's performance in that episode last season, his confrontation in court with Tywin. I've just realized that something similar happened here. This is all about respect.Mance Rayder wasn't even that much liked by myself up till now, but I'm glad to report that on a freezing cold winter's morning (I call it my GAME OF THRONES Winter Is Coming The Wall Sensurround), here I sit with tears in my eyes. Like Ser Allister, when the chips were down, this guy really showed how to fly the flag.You will have to watch for yourself. I'm not giving the outcome away.A powerful word is invoked here. Respect. This show, through sparse scenes with a vast multitude of characters, achieves greatness beyond what I could possibly convey. These characters, whether good or bad, that doesn't matter... They're destined to be immortal legends in this modern classic.Coming from me, here for the actresses, much, much impressed by these stellar performances, this is the HIGHEST RECOMMENDATION.So scr*w the other reviewer... :)"
11," Who Said Anything About Him?
",8,True,"I really like that not only did I feel a tremendous amount of tension in 'The Wars to Come', but we picked up where each character left off. It served as a nice bridge from season 4's epic finale to the inevitably crazy season 5. Luckily we got at least one scene with every major character, as the first episode of each season usually does, so I immediately felt like Game of Thrones never left.We began tonight with our first true flashback sequence involving Cersei. From what I hear this season will have plenty more flashbacks so I look forward to possibly seeing old characters come back or just younger version of characters who we already know. We did see one last glimpse of Tywin, who lays dead with fake eye balls. I found it fitting that they went right from that scene to Tyrion's eyes looking through the box on the ship. Tyrion is liking going down a darker path this year, but knowing there's a possibility of him meeting up with Daenerys is all the more intriguing. Speaking of her, not sure how much I like the relationship with Naharis as i'm definitely missing Jorah's presence.Jon Snow is having a rough time dealing with his new life with the 'King's presence and Melisandre's increasingly creepy seductiveness. The death of Rayder clearly had an impact on him and I can definitely see conflict rising between Snow and Baratheon in the future. Brienne gave us a good short scene where yet again we have a close encounter with a Stark. I haven't read the books but can there really be this many 'almost' meetings between characters who are looking for each other? Daenerys tried to 'tame' her dragons at the end, and it sure seemed like this wont be the end of that particular conflict. From the trailers alone we see her dragons disobeying her so we may finally get the dragon violence and action that everyone has been craving. So tonight's episode did just about everything right in it's hope to build the tension with all the characters and future story lines. Let the wars begin.+Tyrion meeting Daenerys? +Enter the dragons +Feel the tension +Brienne is always BA -Close encounters -Naharis 8.6/10"
12," Good souls are still amongst the living, dwindling the number might be
",8,True,"More than a few characters suffer from the patricide of last season. Strangely, Tyrion suffers the most while Cersei seems numbed by the whole ordeal. Despite being in mental slump, it is rather surprising to see that he lands in an exotic place. Lord Varys also accompanies him, he invests so much on Tyrion's survival and although he describes his intention in flowery words, there's always a lingering sense that ulterior motive still resides.The first episode sets a good tone for many characters, but bulk of it is spent on Daenerys and Jon Snow. After conquering and liberating cities and its occupants, Daenerys finds that the task of keeping the peace could be even harder. Some opposition force stalk her and her people from shadow, this time she can't sic mercenaries or dragons at them. It's an interesting part of her character as she puts a brave front as queen and can still be fragile at times, the show continuously uses this contrasting values as allure.Jon Snow rebuilds the wall, he's in a strange yet serendipitous position between Stannis and Mance. The two strong personalities are clashing, it seems that after scraping and resorting to dubious means for the better half of the series Stannis has become a force to reckon with. The North now is a momentary home for several armies, coalition or collision could spark at any moment since Stannis has bigger ambition and needs resource for that cause.A few other characters make a brief yet notable appearances. While the episode doesn't show much, it's still nice to see them, all breathing and such. The series has high production value, and the fifth season is no different. The stages are beautiful to behold and a couple of spectacles are nothing short of breathtaking. Costume and setting have been polished for medieval, desert and winter style respectively, although I'm not a fans of Tyrion's beard.Alliances, though they are uncanny, might be forged. The prospect of the bonds, as well as the characters who might share them, are fascinating hook for episodes to come."
13," Literature vs The Series
",8,True,"I couldn't care less if the Series is diverging from the Literature: the books are not canonical texts (neither I would bother if they were); I couldn't care less about disputing which one is the chosen one: the source will always be the ""best"" because it was the first and it's the basis for the inspiration... well, that's subjective, but hey... I couldn't care less! We readers and viewers have to understand that one thing is a book, another thing is an audiovisual work. Both have merits on their own and both use different languages to speak for themselves. What comes first comes first, but I couldn't care less. After all the author is blessing the series, even directing some episodes, and he is all smiles about its route, so... why whining? What matters for me is quality, its juice - narrative with excellence. A story with layers and layers of reviving itself from the ashes, the mighty test of enduring when being hammered in flames, the plausibility of a character's metamorphosis (our own in life), the prevailing string of a persona's charisma: Shakespearean political plots vs. Humanism.That's what you will find in this episode. Forget about hysterical plot turmoils, Hollywood agendas and frantic compasses. You'll only find a solid narrative with delightful clues for the ""Wars to Come"". When you reaffirm the protocols of seeing good old ""Game of Thrones"" again and for the 5th time the episode has already finished leaving you with a watery eye. Son of a...!"
14," A great start to the fifth season
",9,True,"Now that I've reviewed four seasons, this episode and some of the later episodes of season 5 is where I watched Game of Thrones on television. Because, like I said before when I reviewed Season 1, I had to catch up with the entire show online. So, with that out of the way, time to review Season 5 starting with this one.The Wars to Come continues where Season 4 left off with the two Stark girls heading off in different directions Arya and Sansa while Tyrion with the help of Varys arrive at Pentos after escaping from the Lannister family after being sentenced to death. Also, Jon Snow is continuing his duties at the Wall before two kings arrive, which finds himself caught.The first episode of Season 5 is a great episode. The performances are still good, the storyline's nicely written, the new characters are well-introduced, and the pacing never drags. My only quibble is that it doesn't quite live up to the high standards set by Season 4.Don't get me wrong. The writing's fine for the most part, but the reason I think Season 4 was the best because it raised the stakes to the events that would happen to some of the Lannister family members, the action sequences were engaging, the writing had gotten progressively stronger, and the character development was even more fleshed out.But while this episode isn't excellent, it's a great start to season 5 and looking forward to see how things will turn out."
15," What a boring mess
",4,False,"Warning, major spoilers to follow, if you haven't read the books, do NOT read this.After completely cutting Lady Stoneheart and adding meaningless, out of place scenes to the finale of the previous season I was quite wary with the premiere of this one. People who have read the books will agree that introducing Lady Stoneheart was the perfect cliffhanger for ""A storm of swords"", but she was cut from the series, even though she plays a major role in the book which season 5 is based on.I can see how, maybe postponing her appearance might help the show, but why are they then premiering the new season with meaningless dialog, and outright stupid changes to the story?Why are we seeing Tyrion in the first episode? he adds nothing of value to it, his dialog with Varys is completely meaningless, and it seems as though they just shoehorned Tyrion and Varys into this episode because they're among the most popular characters. Also, by showing Tyrion we lose the mystery of the books, not knowing where he is, Cersei growing more paranoid by the day, burning down the tower of the hand in the process. We also get to see Dany, who also doesn't really add anything to the story, she sits on her throne and has some guy come in and ask to open up some fight club or whatever, I wasn't even paying attention at this point. Then she goes down to see her dragons, they're pretty mad at her. Alright, so.. what was the point in showing Dany now? She adds nothing to the story, literally nothing, we just see exactly what happened last season, she's left her dragons in a cellar, and now they're mad at her.At this point my jaw is almost dislocated from yawning so much, but hey here's Jon, surely this must be good right?Yeah, it's alright. We see Mance get burned and Jon shoots him to show him mercy. No complaints about this scene, there's some trivial changes but hey, I don't really care about those.So all in all, it's a boring mess of filler dialog, with too much show time given to the actors with the highest salary, all for the purpose of ""Hey look, it's Tyrion guys! you love Tyrion, right?""The creators of the show have changed so many things from the books, almost abandoning them, to the point where it is spiraling out of a control and turning into a complete mess. They should have stuck to copying the books."
16," The Outcome of War and the Wars to Come
",8,True,"""The Wars to Come"" is indeed a massive setup for the wars and events to come in this season. A lot of characters are about to meet and a lot of stronger forces are about to compete for the throne. Yet another season arrives, and this kicks it all off.The episode starts off with a flashback regarding Cersei eager to find out about her future and of course gets what she bargained for. It's a strong flashback that adds more depth and development to Cersei's current character in the show. The episode also instantly follows the events of the previous season and it instantly shows their outcome to the different characters throughout the kingdom. We also get to see Tyrion with Varys and their conversations together have always proved to be interesting throughout the seasons so it was entertaining to see them together again. It was also exciting that we finally get a Daenerys and Tyrion storyline crossover and it would be nice to see both of my favorite story lines to intertwine. Meanwhile at the Wall where Stannis now resides. Jon Snow is troubled as Stannis wants the help of the Wildling army to march into Winterfell and gives them a more than fair offer in return as long as Mance kneels down to him. In the end, a tense situation was brought upon Mance and audiences alike whether he would rather kneel or burn. He did not kneel and was steadfast in his decision, that was until the fire wavered upon him and Jon ended his despair with a shot of an arrow. Meanwhile with the Daenerys storyline, a masked man had murdered one of her men and she sought out to find the culprit. Dany seem to have been having a lot of trouble since the previous season, so she ought to reclaim her authority with her dragons which she locked up for about 1 season. In a big surprise, the dragons seemed to have despised her for locking them up and are furious at her. The problems and inconveniences seem to be stacking up in Dany's part and there's bound to be more. Let's just hope Tyrion fixes some of those problems when he arrives. The visuals were still looking classy and incredible and the dialogue and acting were still game of thrones standardsAs a setup, it sure did promise a whole lot to happen in this season and I hope it to be right. There's bound to be more deaths and shocking moments and for that I'm very excited for. +Cersei Flashback, +Outcome of Season 4, +A promising setup, +Stannis and Jon, +Tyrion and Dany, +Intense moments,Verdict: 8.3/10"
17," A slightly slow start
",8,True,"The episode starts off well, but to me it doesn't really pick up enough speed. I find it a good, but not great start of the new season."
18," Sets up what is to come quite effectively
",8,True,"Came to 'Game of Thrones' fairly late in the game and due to being so busy the binge-watching was gradual. Have found myself truly loving the show, very quickly becoming one of my favourites. It totally lives up to the hype and not only does it do the brilliant source material justice (a rarity in television) it is on its own merits one of the finest, most addictive and consistently compelling shows in recent years and quality-wise it puts a lot of films in recent years to shame.""The Wars to Come"", while not living up to the previous season's finale ""The Children"", is a very promising start for Season 5. It is not the most dramatic, action-packed, story-advancing or most emotion-filled of episodes, instead going the slower, more reflective and intimate approach. This is not a problem because, although some may disagree, 'Game of Thrones' has shown numerous times that it does these types of episodes excellently. Some characters are better developed than others, Tyrion continues to have plenty of meat to him and is getting more fascinating with each episode. Am also really appreciating Cersei getting more development and becoming more prominent. Sansa is rather bland though.The episode does a great job beginning where the previous season left off, reminding us of what happened and sets things up for what is to follow. There is not a massive amount in terms of character progression however, though it's certainly evident if not quite deep enough, and other episodes have done better in moving things forward.'Game of Thrones' has always been strong when it comes to acting and ""The Wars to Come"" is not an exception. Peter Dinklage can do no wrong, he is a fan favourite for great reason, and Lena Headey, Aidan Gillen and Emilia Clarke also do a huge amount with their characters.Visually, ""The Wars to Come"" looks amazing, as one would expect for 'Game of Thrones'. The scenery is throughout spectacular, the sets are hugely atmospheric and beautiful on the eyes with a real meticulous eye for detail and the costumes suit the characters to a tee. The make-up is beautifully done. The visual effects are some of the best of any television programme and are not overused or abused, the scale, the detail and how they actually have character and soul are better than those in a lot of the big-budget blockbusters. As well the cinematography and editing, which are cinematic quality as well.One cannot talk about ""The Wars to Come"" without mentioning the thematically, orchestrally and atmospherically multi-layered music scoring and the unforgettable main theme. Again, worthy of a high-budget fantasy/action/drama film.It is hard not to be bowled over by the quality of the writing, outstanding isn't a strong enough adjective to describe how good the writing is once again. It always has a natural flow, is layered and thought-provoking and demonstrates a wide range of emotions. The story is still riveting, even with the quieter and slower approach to the storytelling, and has enough passion and sensitivity. Overall, promising start to Season 5. 8/10 Bethany Cox"
19," powerful beginning
",9,True,"I was a fan of ""Game of thrones"" first season. After death of Eddard Stark (Sean Bean) I lost previous interest for some reasons, mostly because of huge number of characters and subplots. I watched all the seasons but not joyfully. I was planning to continue watching like this, but something happened.The day before season 5 premiere I watched ""Game of thrones: a day in life"". It is a behind the scene short movie. Great amount of accessories and number of cast & crew was astonishing. I was really impressed which changed my point of view.Besides, although there is no ""previously on..."" in s5 e1 but, wisely, the past events are narrated by characters, for example death of Tyrion's mistress by himself and so on just in time. We also see all of main characters except Arya (Lord Stark daughter), I guess. Game of thrones fifth season had a powerful beginning. I wish (and I am sure) all the fans will be satisfied"
20," A Good Start.
",8,True,"A lot of new character's purpose, story are moving forward and building up to the War to come."
21," Good episode
",9,True,This episode is very good one of the best in season 5
22," Review of season 5: Episodes 1-2
",8,True,"Greetings from Lithuania.Both first episodes of season 5 are 8/10 in my opinion. While the story haven't moved drastically or very intriguingly, it's still a show to wait and to admire. The production values here are like no other - you can simply watch this show for production values - they are truly create this rich world.Acting was as usually very solid from everyone involved. Directing is good, but this show has seen better, as well as writing. It's good, but not as good as it gets and this show has featured some series that were as good as they could possibly be.Overall, season 5 started good, but not great. I know that it's a slow burner start which will definitely lead us to a great and unforgettable moments, so it has to build it on something, and this ""something"" are these first two episodes."
23," Power Struggle
",9,True,"It's quite clear that this show has been about the struggle for power, and it always has been. But I really like the episodes that particularly focus on that. Jon Snow, (possibly Jon Stark?), is somewhat unwillingly to take on another leadership role. Cersei struggles with the council, Tyrion misses the power, and Daenerys grapples with the right punishments. Even though there wasn't a whole lot of action, I loved tonight's episode. It was another one of the great dialogue episodes that the writers consistently give us. Whether it was Tyrion and Varys talking about the lack of power and what people do with it, or Stannis continuing to tempt Snow with possible leadership titles, it was a well written and directed episode.Arya arrived in Braavos to the House of Black and White only to find her old pal Jaqen H'gar! Obviously not reading any of the books I was quite pleasantly surprised to see him appear for the first time since season 2. Speaking of Starks, Brienne finally met Sansa Stark. Sadly, much like Arya, she wasn't too open to her protection. You have to feel for Brienne. She has spent the last few years trying to find the Stark girls and yet neither of them welcomed her. Fingers crossed they change their mind in the future. Jaime and Bronn are apparently on a trip to retrieve Myrcella from the Viper's wife and brother. I'm starting to really like these unlikely duos that go on adventures together. Brienne and Jaime, The Hound and Arya, and now Jaime and Bronn.It was once again really fun to watch Jon Snow and Stannis in the same scene. The characters that you grow to care about for seasons finally meeting is extremely fulfilling. Which is why it will be incredibly once Dany and Tyrion meet. Dany is really struggling with her power and the problem of the Sons of the Harpy. I would hope Tyrion and Varys would fill the gap that Jorah has left Dany in helping with the many political decisions that go along with leading these people. Hopefully next week will be that week.+Stannis & Snow's interactions +Power struggle +Unlikely duos +H'gars return -Brienne can't catch a break 9.0/10"
24," More plot development and more action
",9,True,As this episode opens we see Arya Stark for the first time this season; she has arrived in the city of Braavos and gone to the House of Black and White where she hopes to be reunited with Jaqen H'ghar she doesn't get the reception she hoped for; the man at the door claims that there is nobody of that name there. After a night in the rain she heads into town and later on is confronted by a trio who think she will be an easy victim; this leads to her meeting Jaqen H'ghar and finally entering the House of Black and White. In Meereen a member of the Sons of the Harpy is captured; Daenerys is inclined to have him executed; something the freed slaves are keen to see. She is counselled against this course of action and agrees to hold a trial; however Mossador kills the prisoner believing that this is what Daenerys really wants. This leads to him being tried and executed something the people are not happy about and for once Daenerys sees what it means to be unpopular with 'her people'. Elsewhere in Essos Tyrion and Varys are continuing their journey to Meereen.Back in Westeros Cersei is worried about her daughter; she is in Dorne and there are people there who are determined to have revenge on the Lannisters for the death 'The Viper'. Jaime offers to head south on a rescue mission; to this end he enlists the help of Bronn. Elsewhere Brienne and Podrick bump into Sansa and Petyr Baelish in a tavern; Brienne offers her services to Sansa but they are rejected. North at Castle Black Stannis offers to make John Snow Lord of Winterfell and give him the name John Stark but he won't renounce the oath he made to the Night's Watch. It is also time to elect a new Commander of the Night Watch; Alliser Thorne is expected to win but Sam proposes that John would make a better leader.I felt that this season started well but this episode is a step up from the opening instalment. It was great to see Arya again; Maisie Williams does a great job in the role. There is a decent amount of action; most notably when Brienne crosses swords with some of Lord Baelish's men. As well as actual action there is promise of more to come with Jaime and Bronn heading south to Dorne to rescue Myrcella. In Dorne we are introduced to Doran Martell; the local ruler who is played by Alexander Siddig of 'Star Trek: DS9' fame. The events in Meereen are amongst the episodes most interesting as we see Daenerys struggling to do the right thing even if it makes her unpopular. Her missing dragon also makes a welcome reappearance although it remains to be seen whether it will come under her control. The events on the wall are interesting and after the election of the new Commander it will be interesting to see how those who didn't support him behave. There is also a nice scene between Gilly and Stannis's daughter; nothing dramatic but it was nice to see some normal interaction amongst all the plotting and power-play. Overall a good episode.
25," And so the plot thickens...
",8,True,"Second episode in and this time the story telling is a lot better and more engrossing. We continue to see the struggles from nearly all the characters, some trying to keep hold of what power they have (Cersei, Danerys) others trying to keep hold of what they believe their purpose is (Brienne, Arya) and others who are unsure of what they want (Tyrion, Jon Snow). Highlights in particular were the election/voting at The Wall (where you knew Jon Snow would win that - as the people's vote!) and the scenes with Danerys. I'm sure i'm not the only one, but I really wanted Jon to take that offer from Stannis, but knew deep down that is too good to be true. Should be interesting to see how that plays out for Jon and Stannis.For Danerys, her glorious rise to power and overtaking other kingdoms was starting to become repetitive but now we actually start to see her losing her status of Mhysa, from the people and her dragons! It'll be fascinating to see if she can recover from this.Great to see a couple of familiar faces back too, in Bronn and Jaqen! With such a massive cast, it's no surprise, but always fun to see them back after a while.In summary, a good episode with more plot development!"
